UniqueCount	AmbigCount
0	3
0	0
0	66
0	0
0	7
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	3
0	5
0	3
0	0
0	0
0	0
0	0
0	4
0	0
0	0
3	7
0	0
0	0
0	0
0	8
0	34
0	34
0	31
0	19
0	14
12	3
0	0
0	16
0	0
0	0
0	0
0	0
0	37
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	9
0	10
0	0
0	10
0	0
0	0
0	0
0	0
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
3	61
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
43	19320
16	18565
2	2360
8	0
0	3290
1	46
69	12453
0	2682
0	0
0	0
0	85
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
3	2
0	2
0	0
8	1
0	0
0	16
0	15
6	27
0	1
0	28
0	41
0	26
0	27
0	0
0	16
0	27
0	16
0	26
0	0
0	16
0	14
0	0
0	15
0	15
0	16
0	16
0	0
0	14
0	14
0	14
0	15
0	18
0	26
0	26
0	16
0	15
0	16
0	15
0	0
0	16
0	26
0	15
0	0
0	0
0	1
0	0
0	14
0	0
0	0
0	0
0	3
0	3
0	2
0	0
0	0
0	0
16	45
26	53
3	3
0	3
0	0
0	187
0	187
0	0
0	187
0	0
0	0
0	0
0	0
0	0
0	187
0	74
0	0
0	0
0	0
0	0
0	230
0	230
25	277
0	0
0	0
3	30
68	0
0	0
0	0
0	0
116	18
0	1
0	1
0	0
0	17
0	3
0	3
0	3
0	0
11	0
3	20
0	20
0	19
0	18
0	55
0	23
0	55
0	0
0	0
0	454
5	454
0	454
0	454
0	0
0	0
0	0
0	0
3	12
0	399
0	443
0	38
0	38
0	20
0	38
0	38
0	38
0	39
0	38
0	8
0	32
0	0
0	0
0	0
1	25
0	25
0	25
0	25
0	22
0	22
0	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	664
0	664
0	592
0	587
0	556
0	52
0	0
297	0
0	0
0	0
0	1
0	1
0	0
2	1
0	445
0	445
0	441
0	57
0	45
0	31
0	27
0	0
0	20
0	20
0	20
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	8
0	8
0	0
0	8
0	0
0	0
0	18
0	18
0	9
0	3
0	0
0	0
0	0
0	0
0	0
0	0
13	0
0	0
0	0
0	0
0	30
0	3
0	0
0	5
0	0
0	27
0	16
0	64
0	64
0	64
0	64
0	64
0	62
0	62
0	62
4	63
0	60
0	60
0	60
0	60
0	38
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	24
0	24
0	21
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
0	0
0	0
0	209
0	209
0	0
0	0
0	0
0	0
0	0
0	0
0	207
0	207
0	207
0	203
0	203
0	0
0	0
0	0
0	0
0	0
4	589
0	589
0	574
0	573
0	1
0	0
0	0
0	473
0	473
0	428
0	409
0	467
0	429
0	313
0	329
0	58
0	57
0	18
0	16
0	16
0	4
0	37
0	0
0	0
0	0
0	0
0	78
0	78
0	78
0	78
0	78
